Linux 3.8.0-19-generic (ip-10-58-125-169) 	06/06/2013 	_x86_64_	(1 CPU)

08:44:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
08:45:59 PM  all    4.18    0.00    0.00    0.00    0.00    0.00   95.82    0.00    0.00
08:46:00 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:01 PM  all    8.33    0.00    0.00    0.00    0.00    0.00   91.67    0.00    0.00
08:46:02 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:04 PM  all   10.96    0.00    0.00    0.00    0.00    0.00   89.04    0.00    0.00
08:46:05 PM  all    7.92    0.00    0.00    0.00    0.00    0.00   92.08    0.00    0.00
08:46:06 PM  all   53.57    0.00    3.57    0.00    0.00    0.00   42.86    0.00    0.00
08:46:07 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:08 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:09 PM  all    5.05    0.00    0.00    0.00    0.00    0.00   94.95    0.00    0.00
08:46:10 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:11 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:12 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:13 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:14 PM  all    2.99    0.00    0.00    0.00    0.00    0.00   97.01    0.00    0.00
08:46:15 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:16 PM  all    6.88    0.00    0.00    0.00    0.00    0.00   93.12    0.00    0.00
08:46:18 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:19 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:20 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:21 PM  all    3.74    0.00    0.00    0.00    0.00    0.00   96.26    0.00    0.00
08:46:22 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:23 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:24 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:25 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:26 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
