Linux 3.8.0-19-generic (ip-10-34-167-107) 	06/07/2013 	_x86_64_	(1 CPU)

07:48:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
07:49:40 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:41 AM  all   98.31    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00
07:49:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:43 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:44 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:45 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:46 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:47 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:49 AM  all    8.73    0.00    0.00    0.00    0.00    0.00   91.27    0.00    0.00
07:49:50 AM  all   95.16    0.00    0.00    0.00    0.00    0.00    4.84    0.00    0.00
07:49:51 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:54 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:55 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:01 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:02 AM  all    8.57    0.00    0.00    0.00    0.00    0.00   91.43    0.00    0.00
07:50:03 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:06 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:07 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:11 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:12 AM  all    9.90    0.00    0.00    0.00    0.00    0.00   90.10    0.00    0.00
07:50:13 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:14 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:15 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:16 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:17 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:18 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:20 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:21 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:22 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:23 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:24 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:25 AM  all    7.81    0.00    0.14    0.00    0.00    0.00   92.05    0.00    0.00
07:50:26 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:27 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:28 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:29 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:30 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:31 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:32 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:33 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:34 AM  all   12.47    0.00    0.00    0.00    0.00    0.00   87.53    0.00    0.00
07:50:35 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:36 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:37 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:38 AM  all   19.51    0.00    0.00    0.00    0.00    0.00   80.49    0.00    0.00
07:50:39 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:40 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:41 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:43 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:44 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:45 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:46 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:47 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:49 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:51 AM  all    8.31    0.00    0.00    0.00    0.00    0.00   91.69    0.00    0.00
07:50:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:54 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:55 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:57 AM  all   15.49    0.00    0.00    0.00    0.00    0.00   84.51    0.00    0.00
07:50:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:50:59 AM  all   98.33    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00
07:51:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:01 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:02 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:03 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:04 AM  all   13.65    0.00    0.24    0.00    0.00    0.00   86.12    0.00    0.00
07:51:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:06 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:07 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:11 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:12 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:13 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:14 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:15 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:16 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:17 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:18 AM  all    7.65    0.00    0.00    0.00    0.00    0.00   92.35    0.00    0.00
07:51:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:20 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:21 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:22 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:23 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:25 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:26 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:27 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:28 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:29 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:30 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:31 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
